time (milliseconds since 1970-01-01),shortwave (W/m^2),longwave (W/m^2)
1.0669536E12,2.63e-07,4.89e-06
1.06695366E12,2.50e-07,4.75e-06
1.06695372E12,2.44e-07,4.65e-06
1.06695378E12,2.40e-07,4.56e-06
1.06695384E12,2.37e-07,4.52e-06
1.0669539E12,2.35e-07,4.47e-06
1.06695396E12,2.34e-07,4.42e-06
1.06695402E12,2.33e-07,4.41e-06
1.06695408E12,2.33e-07,4.41e-06
1.06695414E12,2.34e-07,4.41e-06
1.0669542E12,2.32e-07,4.38e-06
1.06695426E12,2.32e-07,4.34e-06
1.06695432E12,2.35e-07,4.36e-06
1.06695438E12,2.47e-07,4.46e-06
1.06695444E12,2.40e-07,4.41e-06
1.0669545E12,2.35e-07,4.40e-06
1.06695456E12,2.30e-07,4.34e-06
1.06695462E12,2.27e-07,4.29e-06
1.06695468E12,2.26e-07,4.26e-06
1.06695474E12,2.25e-07,4.26e-06
1.0669548E12,2.24e-07,4.23e-06
1.06695486E12,2.22e-07,4.19e-06
1.06695492E12,2.21e-07,4.19e-06
1.06695498E12,2.21e-07,4.19e-06
1.06695504E12,2.22e-07,4.18e-06
1.0669551E12,2.21e-07,4.12e-06
1.06695516E12,2.20e-07,4.12e-06
1.06695522E12,2.20e-07,4.12e-06
1.06695528E12,2.21e-07,4.12e-06
1.06695534E12,2.20e-07,4.12e-06
1.0669554E12,2.20e-07,4.12e-06
1.06695546E12,2.22e-07,4.12e-06
1.06695552E12,2.20e-07,4.12e-06
1.06695558E12,2.20e-07,4.12e-06
1.06695564E12,2.20e-07,4.12e-06
1.0669557E12,2.18e-07,4.07e-06
1.06695576E12,2.19e-07,4.06e-06
1.06695582E12,2.20e-07,4.07e-06
1.06695588E12,2.20e-07,4.11e-06
1.06695594E12,2.20e-07,4.08e-06
1.066956E12,2.20e-07,4.08e-06
1.06695606E12,2.21e-07,4.07e-06
1.06695612E12,2.21e-07,4.07e-06
1.06695618E12,2.21e-07,4.05e-06
1.06695624E12,2.22e-07,4.07e-06
1.0669563E12,2.21e-07,4.05e-06
1.06695636E12,2.21e-07,4.05e-06
1.06695642E12,2.24e-07,4.08e-06
1.06695648E12,2.24e-07,4.12e-06
1.06695654E12,2.23e-07,4.12e-06
1.0669566E12,2.24e-07,4.12e-06
1.06695666E12,2.23e-07,4.11e-06
